"{u'room': 0.1516795878012794}","{u'hear': 0.15002017206870338}","{u'night': 0.14475040589092822}","{u'noise': 0.10770507088801508}","{u'door': 0.09660492510929715}","{u'loud': 0.08341929739639588}","{u'people': 0.08023501315280408}","{u'rooms': 0.06657847016444203}","{u'morning': 0.05982868454950446}","{u'thin': 0.05917837297863009}"
"{u'coffee': 0.29563599804175966}","{u'room': 0.15095357818711952}","{u'tea': 0.1471251310383685}","{u'facilities': 0.06996900291783398}","{u'water': 0.06329857966479538}","{u'machine': 0.06036265393722558}","{u'ice': 0.05930572067530044}","{u'making': 0.05620538310698672}","{u'maker': 0.052682272233902955}","{u'free': 0.04446168019670749}"
"{u'weekend': 0.21856789476043384}","{u'hotel': 0.1454230171496232}","{u'birthday': 0.10136273866779849}","{u'day': 0.0889873380450346}","{u'trip': 0.08467761681648454}","{u'stay': 0.07769538689313528}","{u'stayed': 0.07714162383024896}","{u'night': 0.07661193742227074}","{u'wedding': 0.06953340087928905}","{u'anniversary': 0.05999904553568109}"
"{u'luggage': 0.18382630003990078}","{u'room': 0.17631302897208564}","{u'bags': 0.15730469018221896}","{u'check': 0.09731702749250261}","{u'hotel': 0.07041619890584591}","{u'day': 0.06923114037779936}","{u'leave': 0.06866231228433703}","{u'checked': 0.06190747867447169}","{u'ready': 0.059395154595013}","{u'arrived': 0.055626668475824974}"
"{u'room': 0.1898690134042783}","{u'towels': 0.16769453249644495}","{u'day': 0.15277295471888208}","{u'clean': 0.10662231632945397}","{u'cleaned': 0.09930011794634651}","{u'service': 0.06719331746521283}","{u'daily': 0.06268912603080919}","{u'housekeeping': 0.05502045138351682}","{u'left': 0.05245652702854859}","{u'changed': 0.04638164319650674}"
"{u'room': 0.15862740368650644}","{u'screen': 0.15721722190300222}","{u'flat': 0.15197423834894802}","{u'space': 0.08529795094428673}","{u'small': 0.07759618889591749}","{u'nice': 0.07687301875053071}","{u'desk': 0.07669222621418402}","{u'channels': 0.07314869250178876}","{u'safe': 0.07235320534186332}","{u'closet': 0.0702198534129723}"
"{u'early': 0.16188209980795132}","{u'late': 0.12246252188303404}","{u'check': 0.11977063302567298}","{u'night': 0.11755812163606116}","{u'morning': 0.11235871987047338}","{u'room': 0.08663827496623597}","{u'flight': 0.08359607180551971}","{u'arrived': 0.06960193726622495}","{u'time': 0.06405222119728197}","{u'day': 0.06207939854154476}"
"{u'club': 0.24423115195884448}","{u'free': 0.11866178154422452}","{u'lounge': 0.1172802571001743}","{u'room': 0.11044731187689881}","{u'executive': 0.07635726275749707}","{u'member': 0.07030842600246631}","{u'breakfast': 0.06989770251910003}","{u'points': 0.06982302552212434}","{u'floor': 0.06608917567333993}","{u'hilton': 0.05690390504533025}"
"{u'safe': 0.15246439580193125}","{u'night': 0.14175084069671473}","{u'area': 0.13834462888337143}","{u'felt': 0.12355526477073557}","{u'hotel': 0.11453025911144991}","{u'people': 0.10594194727438776}","{u'walking': 0.06891031114983495}","{u'feel': 0.05924482121795482}","{u'street': 0.052228607140897255}","{u'homeless': 0.04302892395272219}"
"{u'dubai': 0.2378957036929396}","{u'beach': 0.20279562050683705}","{u'hotel': 0.1532762820420215}","{u'burj': 0.08179734379494583}","{u'mall': 0.07535938883870087}","{u'jumeirah': 0.06852457364542713}","{u'resort': 0.048064223647497996}","{u'arab': 0.045771253389109395}","{u'creek': 0.04387514336774958}","{u'emirates': 0.04264046707477109}"
"{u'hotel': 0.21910506579161673}","{u'high': 0.16566070113410958}","{u'expectations': 0.1347068041274272}","{u'service': 0.1318744213947896}","{u'quality': 0.08166706557458256}","{u'standard': 0.0691236563300446}","{u'room': 0.060693945816242205}","{u'price': 0.04794822351937299}","{u'level': 0.04568906110167395}","{u'expect': 0.04353105521014054}"
"{u'staff': 0.25660945008077113}","{u'service': 0.19901612299726587}","{u'hotel': 0.17174569523674502}","{u'customer': 0.07999495909889634}","{u'rude': 0.07805247719551048}","{u'guests': 0.05736630627633646}","{u'poor': 0.04336530034933453}","{u'people': 0.03990919618357009}","{u'management': 0.039001022826142935}","{u'lack': 0.03493946975542706}"
"{u'breakfast': 0.38846800697681505}","{u'buffet': 0.12090132688060183}","{u'good': 0.10594332934978895}","{u'included': 0.07274152416880265}","{u'continental': 0.0704318333736036}","{u'food': 0.06302157540567334}","{u'morning': 0.05540509504531459}","{u'english': 0.045272701497328295}","{u'full': 0.039319748435892664}","{u'day': 0.03849485886617872}"
"{u'staff': 0.17039663848014258}","{u'feel': 0.1498162350792872}","{u'hotel': 0.14593840044833786}","{u'made': 0.1280446014323232}","{u'make': 0.09256114729291742}","{u'stay': 0.07773413252752287}","{u'special': 0.0679001466660304}","{u'home': 0.062450901923193074}","{u'service': 0.054568506039367935}","{u'friendly': 0.05058929011087742}"
"{u'internet': 0.2822471158253103}","{u'free': 0.20841337814088856}","{u'access': 0.13130374083224333}","{u'room': 0.07147132413789213}","{u'wireless': 0.07131382896365061}","{u'lobby': 0.05559581057434754}","{u'business': 0.052871144059969344}","{u'wifi': 0.043846670575930585}","{u'computer': 0.042807202425936594}","{u'center': 0.04012978446383086}"
"{u'small': 0.19456019632191432}","{u'rooms': 0.17686063599472124}","{u'room': 0.14055038449413068}","{u'hotel': 0.1337169031475976}","{u'hotels': 0.07348103053741721}","{u'size': 0.06887475792605048}","{u'london': 0.06222687730744794}","{u'standards': 0.057502495141943596}","{u'nyc': 0.04715947275817873}","{u'large': 0.04506724637059823}"
"{u'manager': 0.21126065791075435}","{u'told': 0.14145981032431879}","{u'hotel': 0.1413896939530617}","{u'asked': 0.11393913460591}","{u'staff': 0.10633150832451546}","{u'room': 0.07236012645045416}","{u'back': 0.057705804857721824}","{u'reception': 0.0547258590792954}","{u""didn't"": 0.052657426127211165}","{u'time': 0.048169978366757245}"
"{u'hotel': 0.20410014903516607}","{u'trip': 0.15106799763989276}","{u'nights': 0.11099926103013075}","{u'business': 0.10257795180393689}","{u'stay': 0.09727473666440957}","{u'night': 0.08384483536199547}","{u'stayed': 0.06793518994341348}","{u'conference': 0.06589738042220622}","{u'london': 0.05845814807370261}","{u'days': 0.05784435002514621}"
"{u'nights': 0.25780384595203254}","{u'hotel': 0.21025145274470533}","{u'stayed': 0.1708498902305955}","{u'stay': 0.0772741196746976}","{u'night': 0.06825292610803424}","{u'week': 0.06224271761707599}","{u'days': 0.04903437292951022}","{u'weekend': 0.03854297180635023}","{u'july': 0.034496960610871485}","{u'spent': 0.031250742326126915}"
"{u'san': 0.3651711557590393}","{u'francisco': 0.29819923672589593}","{u'hotel': 0.09318201143064435}","{u'stay': 0.08110234482651195}","{u'fran': 0.04152036751204092}","{u'trip': 0.030030638114156852}","{u'great': 0.02444028077875605}","{u'time': 0.02379415907667455}","{u'visit': 0.02140631800376466}","{u'stayed': 0.02115348777251538}"
"{u'hotel': 0.2549420007866671}","{u'hotels': 0.2506859678027916}","{u'stay': 0.08904071506652063}","{u'stayed': 0.07949264106979997}","{u'service': 0.06599653647619481}","{u'ritz': 0.05552445531850117}","{u'hyatt': 0.05294843535457654}","{u'chain': 0.052080428627601934}","{u'marriott': 0.0505124164756478}","{u'star': 0.04877640302169859}"
"{u'great': 0.15016561013940505}","{u'service': 0.1440798445991198}","{u'staff': 0.12876385411021612}","{u'hotel': 0.12329638115022111}","{u'location': 0.11766991866958003}","{u'good': 0.08525372196007805}","{u'excellent': 0.08127015119277958}","{u'rooms': 0.0627213737840727}","{u'friendly': 0.05796052091583794}","{u'room': 0.048818623478689566}"
"{u'inn': 0.35652987670617065}","{u'holiday': 0.16327070547816938}","{u'stay': 0.10317577246586142}","{u'stayed': 0.07713856645513133}","{u'nights': 0.061333422149637176}","{u'hotel': 0.059475727949551103}","{u'plaza': 0.05794239305424197}","{u'suites': 0.05033469299674665}","{u'hilton': 0.035679549862734354}","{u'comfort': 0.03511929288175601}"
"{u'pool': 0.4204205436555035}","{u'area': 0.10507006585103308}","{u'nice': 0.0921593406313205}","{u'spa': 0.08263667839628404}","{u'gym': 0.07419659249954647}","{u'swimming': 0.055913081008276466}","{u'small': 0.04719232717197993}","{u'great': 0.04606965541374405}","{u'pools': 0.038571811885525865}","{u'fitness': 0.03776990348678596}"
"{u'clean': 0.3249119390110217}","{u'comfortable': 0.1546063786466984}","{u'room': 0.08367602119506853}","{u'rooms': 0.08310803306685241}","{u'spacious': 0.07286152723383349}","{u'nice': 0.06430762602289863}","{u'quiet': 0.06220606994849896}","{u'modern': 0.053527211349356556}","{u'hotel': 0.05064183165801863}","{u'small': 0.05015336186775276}"
"{u'walking': 0.16525877729822788}","{u'distance': 0.1374312667875726}","{u'location': 0.13654651626414524}","{u'easy': 0.09747003481277085}","{u'close': 0.09582692669783435}","{u'great': 0.08554696823515474}","{u'hotel': 0.07865855344561327}","{u'attractions': 0.0765730700689631}","{u'located': 0.06688294528856838}","{u'shopping': 0.059804941101149624}"
"{u'clean': 0.25121159759119266}","{u'small': 0.16515904046120458}","{u'room': 0.1354960878199924}","{u'rooms': 0.11427894660137118}","{u'bathroom': 0.07282343109534499}","{u'bit': 0.06788223674904408}","{u'nice': 0.06006788786272155}","{u'good': 0.04829111156131426}","{u'recently': 0.042986826256658964}","{u'renovated': 0.041802834001155545}"
"{u'hotel': 0.17971143115470528}","{u'price': 0.16464503859302787}","{u'hotels': 0.15400918689482676}","{u'good': 0.11280643367742582}","{u'london': 0.1108146055082549}","{u'stay': 0.06889683705063876}","{u'expensive': 0.061146582571877564}","{u'location': 0.052425950267110034}","{u'find': 0.051506644958261925}","{u'reasonable': 0.044037289323870986}"
"{u'room': 0.20136479545491606}","{u'area': 0.1288316501106632}","{u'bed': 0.1177333817916766}","{u'bedroom': 0.11613743246316116}","{u'large': 0.09638068043084949}","{u'living': 0.08291600448682279}","{u'suite': 0.07433089775411912}","{u'bathroom': 0.07163429371628272}","{u'table': 0.05587658712783728}","{u'desk': 0.05479427666367164}"
"{u'room': 0.16497261218452436}","{u'dirty': 0.12134479317253327}","{u'carpet': 0.1053948378348161}","{u'bathroom': 0.10078186055577044}","{u'furniture': 0.09417513885951015}","{u'worn': 0.09190774324777584}","{u'bit': 0.082642695661896}","{u'rooms': 0.08240813749516486}","{u'clean': 0.07830336957737}","{u'walls': 0.07806881141063886}"
"{u'shower': 0.22471255106485327}","{u'bathroom': 0.14897223464386683}","{u'bath': 0.13380559047860952}","{u'nice': 0.08900244102258907}","{u'tub': 0.08772500544971135}","{u'large': 0.07248868298047888}","{u'toiletries': 0.07151318672482679}","{u'towels': 0.06368599057828511}","{u'separate': 0.05474394156814106}","{u'products': 0.05335037548863809}"
"{u'wait': 0.16057849000532737}","{u'time': 0.12384401425788519}","{u'minutes': 0.11531545065777972}","{u'long': 0.11079428441194068}","{u'people': 0.09741060478647401}","{u'breakfast': 0.09240135809364097}","{u'check': 0.08590218161524736}","{u'line': 0.08330764871280563}","{u'waiting': 0.07272400954640972}","{u'busy': 0.05772195791248926}"
"{u'hotel': 0.34166892586752634}","{u'star': 0.24999996906428548}","{u'surprised': 0.09674886923982459}","{u'pleasantly': 0.07192667060922411}","{u'rating': 0.05375451216989149}","{u'stars': 0.05045258249158835}","{u'expect': 0.0495520562156875}","{u'give': 0.03117208402037774}","{u'service': 0.030063743988499765}","{u'good': 0.024660586333094637}"
"{u'day': 0.31520117990722674}","{u'long': 0.10776354706888437}","{u'back': 0.10150354409360574}","{u'place': 0.08509604771091199}","{u'great': 0.07546307509598552}","{u'hotel': 0.06580151799258746}","{u'night': 0.06457238498830901}","{u'room': 0.06351475891486011}","{u'days': 0.06094215495241684}","{u'sightseeing': 0.06014178927521227}"
"{u'view': 0.28771908365901466}","{u'room': 0.19918498508544585}","{u'floor': 0.15502958031136457}","{u'great': 0.07194373395770763}","{u'views': 0.07090543998956868}","{u'building': 0.054236914242993865}","{u'nice': 0.04710282988126492}","{u'city': 0.044468019381471456}","{u'window': 0.0347549467763006}","{u'tower': 0.0346544667148678}"
"{u'extra': 0.13024661281255845}","{u'room': 0.12396252626192888}","{u'pay': 0.1222136531181216}","{u'charge': 0.11646312108594174}","{u'night': 0.11495138328366766}","{u'worth': 0.09861868663556915}","{u'day': 0.07938108205368906}","{u'cost': 0.07896609520600598}","{u'price': 0.0693324719562201}","{u'breakfast': 0.06586436758629718}"
"{u'problem': 0.17263102885931503}","{u'room': 0.15363029884257792}","{u'work': 0.1397981611879066}","{u""didn't"": 0.10455328374753417}","{u'fixed': 0.09337927930763953}","{u'problems': 0.0738370777101146}","{u'working': 0.07373862833178954}","{u'fix': 0.07137584325198802}","{u'quickly': 0.061481680730319226}","{u'day': 0.05557471803081546}"
"{u'kids': 0.16744654093771733}","{u'children': 0.16352596570976077}","{u'family': 0.1336368491869521}","{u'year': 0.09898402297856179}","{u'daughter': 0.0839340729099543}","{u'adults': 0.07976055734471023}","{u'hotel': 0.07908604977861017}","{u'room': 0.0659331522396591}","{u'young': 0.0652164879506778}","{u'son': 0.06247630096339633}"
"{u'station': 0.2470186626622972}","{u'tube': 0.1940536012987113}","{u'walk': 0.13777416186206667}","{u'hotel': 0.07280260345931203}","{u'london': 0.06878960647869677}","{u'minutes': 0.06435418876327992}","{u'road': 0.0588952131135361}","{u'court': 0.05653940516945022}","{u'minute': 0.04995938987734829}","{u'close': 0.04981316731530158}"
"{u""didn't"": 0.1648617882873763}","{u'hotel': 0.11630838384798473}","{u'big': 0.11592047382583245}","{u'room': 0.10654598162381944}","{u'bit': 0.1038952631391123}","{u'problem': 0.08857281726409791}","{u""wasn't"": 0.08414417784452624}","{u'small': 0.08000647094156878}","{u'deal': 0.07428479811482289}","{u'find': 0.0654598451108589}"
"{u'room': 0.2642588272307943}","{u'smell': 0.19970886874806826}","{u'smoke': 0.1552990388952436}","{u'smoking': 0.08523170063659498}","{u'smelled': 0.06969502997924246}","{u'rooms': 0.05114580226632484}","{u'floor': 0.049453354482299504}","{u'non-smoking': 0.049453354482299504}","{u'cigarette': 0.041837339454185524}","{u'bad': 0.03391668382494699}"
"{u'room': 0.18158788138468346}","{u'door': 0.17989914082555167}","{u'bathroom': 0.11558225038776043}","{u'window': 0.09946684048061695}","{u'open': 0.08301368246164711}","{u'light': 0.08031169756703622}","{u'wall': 0.07317073748842175}","{u'bed': 0.07179562017598584}","{u'small': 0.0651612822651109}","{u'shower': 0.050010866963185595}"
"{u'tour': 0.1820267701191695}","{u'bus': 0.14223424007590635}","{u'tickets': 0.1410409231426597}","{u'day': 0.1364053458250477}","{u'pass': 0.09303286498204458}","{u'show': 0.0828437742443232}","{u'great': 0.057233356984645156}","{u'tours': 0.05663669851802183}","{u'city': 0.05443365187202803}","{u'buy': 0.05411237423615393}"
"{u'stayed': 0.24203371603190457}","{u'hotels': 0.1921865966846636}","{u'hotel': 0.1732080024034332}","{u""i've"": 0.12032611977017209}","{u'worst': 0.0746461380694065}","{u'london': 0.05333485260563831}","{u'world': 0.05107010388472777}","{u'star': 0.03730043166159168}","{u""we've"": 0.02808290436748578}","{u'experience': 0.027811134520976513}"
"{u'microwave': 0.17925961103030033}","{u'fridge': 0.17873453907912246}","{u'kitchen': 0.16875817200674284}","{u'room': 0.09503807006136906}","{u'small': 0.08406406628175146}","{u'refrigerator': 0.0733525984777228}","{u'full': 0.06510896884423015}","{u'coffee': 0.06054084286898263}","{u'kitchenette': 0.04877923116259822}","{u'sink': 0.046363900187179986}"
"{u'airport': 0.20494281823040922}","{u'hotel': 0.16230244291210172}","{u'taxi': 0.16076831408103398}","{u'cab': 0.10543459884539887}","{u'shuttle': 0.08477639828458258}","{u'car': 0.0802370581816972}","{u'driver': 0.05924261020585236}","{u'back': 0.05377858971163848}","{u'service': 0.04482600228650344}","{u'ride': 0.0436911672607821}"
"{u'walk': 0.18534741025384832}","{u'city': 0.11269009818196643}","{u'shopping': 0.10937777954339534}","{u'hotel': 0.1040353301263452}","{u'montreal': 0.09783808880256703}","{u'located': 0.09395590889284393}","{u'center': 0.09039427594814384}","{u'street': 0.07401076440252341}","{u'minute': 0.06692311484257021}","{u'centre': 0.06542722900579617}"
"{u'noise': 0.22942424197117456}","{u'street': 0.1547822171211329}","{u'room': 0.146039888848419}","{u'floor': 0.08944275916634863}","{u'night': 0.07518924630442761}","{u'quiet': 0.06949565844276445}","{u'hotel': 0.06565216091601243}","{u'noisy': 0.06283793899811943}","{u'traffic': 0.05508579991873824}","{u'hear': 0.05205008831286293}"
"{u'breakfast': 0.18483791634379398}","{u'coffee': 0.13206535707720915}","{u'fruit': 0.12291619022271338}","{u'toast': 0.10484452506191881}","{u'juice': 0.0965402137052481}","{u'eggs': 0.09513898995275775}","{u'fresh': 0.07646974407398938}","{u'cereal': 0.07259577252298666}","{u'tea': 0.06080900801674437}","{u'pastries': 0.053782283022638384}"
"{u'vegas': 0.24623287781895067}","{u'strip': 0.23895907851626058}","{u'las': 0.11586000726238108}","{u'stay': 0.07989028851494935}","{u'casino': 0.07669606638679904}","{u'hotel': 0.05553434478780328}","{u'hotels': 0.052860919745764436}","{u'walk': 0.051854045379282274}","{u'mgm': 0.044580246076592174}","{u'time': 0.03753212551121704}"
"{u'hotel': 0.2284223475486007}","{u'good': 0.15984822843660784}","{u'bad': 0.11596585069228048}","{u'experience': 0.10170723947996663}","{u'location': 0.08687954844099723}","{u'thing': 0.08134682790406833}","{u'stay': 0.0707872355650155}","{u'things': 0.052766374387589986}","{u'great': 0.052039216831307904}","{u'reviews': 0.05023713071356535}"
"{u'air': 0.23169954433398945}","{u'room': 0.20238894656584352}","{u'conditioning': 0.09922237189594714}","{u'hot': 0.08767010823477736}","{u'window': 0.07615523054014861}","{u'open': 0.07447286204580349}","{u'cold': 0.06484597566149536}","{u'night': 0.060041878960976534}","{u'heat': 0.05258337863604654}","{u'warm': 0.05091970312497193}"
"{u'time': 0.20175931459914365}","{u'money': 0.16200224527627632}","{u'hotel': 0.12720698342401887}","{u'spend': 0.11169546543230174}","{u'stay': 0.10233533651298102}","{u'room': 0.09732657187387962}","{u'worth': 0.05755385016151515}","{u'lot': 0.051887685163531705}","{u""don't"": 0.04756762566230676}","{u'place': 0.04066492189404516}"
"{u'business': 0.2576755464040424}","{u'hotel': 0.2551773574943113}","{u'people': 0.09207096563433176}","{u'recommend': 0.06571326235485003}","{u'travelers': 0.06093411835362533}","{u'place': 0.059160042171352525}","{u'stay': 0.05528603907945068}","{u'families': 0.05325852344256747}","{u'good': 0.05267923326060084}","{u'young': 0.04804491180486779}"
"{u'bed': 0.24964692768285998}","{u'comfortable': 0.18866501619434273}","{u'pillows': 0.14008660426369837}","{u'beds': 0.0990868011710712}","{u'slept': 0.0607936440920216}","{u'mattress': 0.05589814521528999}","{u'soft': 0.055027311280486775}","{u'sheets': 0.054886094966734904}","{u'hard': 0.05142629527981401}","{u'sleep': 0.04448315985368024}"
"{u'water': 0.272536458245646}","{u'shower': 0.25292375530137395}","{u'hot': 0.14762948725717423}","{u'pressure': 0.07892779143779334}","{u'bathroom': 0.06849184930694042}","{u'bath': 0.037393886467287314}","{u'toilet': 0.03624917617871113}","{u'tub': 0.03567682103442303}","{u'room': 0.03512354439494454}","{u'cold': 0.03504723037570613}"
"{u""don't"": 0.24136475793479395}","{u'hotel': 0.1393609675451501}","{u""it's"": 0.08918455526208188}","{u'stay': 0.08905506774651269}","{u'people': 0.0876630769541437}","{u'place': 0.08190088251131392}","{u'mind': 0.07610631618959185}","{u""you're"": 0.07241592199586941}","{u'good': 0.06827232149765475}","{u'expect': 0.05467613236288786}"
"{u'location': 0.2778179160308977}","{u'hotel': 0.16663120810008403}","{u'great': 0.13840918028367435}","{u'price': 0.10051042100044749}","{u'beat': 0.08428328669455408}","{u""can't"": 0.07643556381267376}","{u'good': 0.0691833320979822}","{u'stay': 0.034772449651146585}","{u'excellent': 0.026074025101853783}","{u""it's"": 0.02588261722668597}"
"{u'station': 0.19395135848759468}","{u'walk': 0.13184738497161635}","{u'subway': 0.1213544198370426}","{u'hotel': 0.12018603828030205}","{u'bus': 0.09859344835669312}","{u'stop': 0.08160697803177286}","{u'line': 0.06691233306815136}","{u'train': 0.06648542442241924}","{u'tube': 0.06271065323910363}","{u'blocks': 0.056351961305304114}"
"{u'phone': 0.20287329511461025}","{u'call': 0.19891136063047846}","{u'room': 0.12792978674187472}","{u'hotel': 0.09575295434271108}","{u'calls': 0.07198134743792046}","{u'called': 0.06813049522904471}","{u'make': 0.06809346780395938}","{u'reservation': 0.06287260086692592}","{u'number': 0.052838168668797786}","{u'back': 0.05061652316367717}"
"{u'floor': 0.2469034682612695}","{u'room': 0.15205751860248326}","{u'elevator': 0.1285558673595982}","{u'stairs': 0.09874778846659531}","{u'elevators': 0.0743160525702756}","{u'lift': 0.06653510046959067}","{u'hotel': 0.061090702498265946}","{u'lobby': 0.058391188504150766}","{u'floors': 0.05771063875773518}","{u'rooms': 0.055691674510035594}"
"{u'stay': 0.4196958969037842}","{u'hotel': 0.14654244219070842}","{u'experience': 0.08624084359117296}","{u'pleasant': 0.06407680937013874}","{u'place': 0.05642494041287691}","{u'great': 0.05510565266162488}","{u'night': 0.04814387268194104}","{u'wonderful': 0.04246078698423996}","{u'made': 0.04215633596472026}","{u'enjoyed': 0.039152419238792535}"
"{u'desk': 0.20677499434066762}","{u'staff': 0.2019564494494888}","{u'front': 0.15080066464587766}","{u'helpful': 0.13242418659513527}","{u'friendly': 0.12540099239758146}","{u'concierge': 0.05127461003054237}","{u'nice': 0.040449385891455636}","{u'service': 0.03214564688720495}","{u'reception': 0.03111593044470646}","{u'greeted': 0.02765713931733972}"
"{u'clean': 0.18623010470446338}","{u'comfortable': 0.14697923153825793}","{u'room': 0.13068746897318045}","{u'bed': 0.11215465916028128}","{u'bathroom': 0.08876779680230763}","{u'nice': 0.0771534067088249}","{u'good': 0.07481007099740965}","{u'size': 0.0719831898217341}","{u'large': 0.059978243776348826}","{u'spacious': 0.05125582751719206}"
"{u'machines': 0.12299586155187453}","{u'casino': 0.12062908961260457}","{u'play': 0.11475033350538565}","{u'channels': 0.10848983998860705}","{u'show': 0.09665598029225728}","{u'game': 0.08925027454679967}","{u'slots': 0.08902123210106387}","{u'free': 0.08848679972768032}","{u'movie': 0.08566194289693876}","{u'good': 0.08405864577678816}"
"{u'michigan': 0.16472499326908194}","{u'mile': 0.1226974896589194}","{u'park': 0.10854178237599853}","{u'ave': 0.10287070709805816}","{u'avenue': 0.09711170817239782}","{u'walk': 0.09645228081449778}","{u'location': 0.07798831479329665}","{u'chicago': 0.07750473473083662}","{u'blocks': 0.0773288874353966}","{u'great': 0.07477910165151645}"
"{u'stay': 0.2796198477874794}","{u'hotel': 0.16152986589502147}","{u'back': 0.1478331936328685}","{u'time': 0.08917768151873869}","{u'return': 0.08904785524137229}","{u'visit': 0.05555267568084663}","{u'staying': 0.051735783126275116}","{u'london': 0.05054138137450443}","{u'great': 0.03798718035317562}","{u'trip': 0.03697453538971787}"
"{u'card': 0.20823327800854127}","{u'credit': 0.16481430369858946}","{u'bill': 0.09777422186301886}","{u'room': 0.09155034158650699}","{u'charged': 0.0870158002421912}","{u'charge': 0.08565247408638384}","{u'hotel': 0.07376782651075882}","{u'pay': 0.0675735837593732}","{u'check': 0.06546931947540967}","{u'told': 0.058148850769226657}"
"{u'left': 0.19377912052924207}","{u'back': 0.1485163101870685}","{u'room': 0.13074256103440138}","{u'day': 0.09775568760699371}","{u'night': 0.0976050626141745}","{u'bed': 0.08065975092201302}","{u'home': 0.07327912627387158}","{u'clothes': 0.06371443922985155}","{u'shoes': 0.0596475644237328}","{u'morning': 0.05430037717865073}"
"{u'bar': 0.3171569918273293}","{u'drinks': 0.15684000046056312}","{u'drink': 0.0969454528463935}","{u'mini': 0.07978465549626623}","{u'wine': 0.07241934595819417}","{u'beer': 0.06254908343001642}","{u'expensive': 0.0594833200689915}","{u'bottle': 0.0542117025823511}","{u'food': 0.052641433543777365}","{u'water': 0.04796801378611744}"
